,,Time Calculation,,,Formulae,,,,,,,,,,,,,,,,Minimum = ,,,,Minimum = ,,,,,,,
,,,,,,,,,,,,,,,,,,,,,0.008168346,,,,0.027362658,,,,,,,
BL,N,WS,RM_count,RL_count,RLH_count,RLM_count,RLMD_count,WM_count,WL_count,WLH_count,WLM_count,WLMD_count,WT_count,WTM_count,FCD_count,FC_count ,Total Read Time,Write Time for WB ,Write Time for WTNA,Write time for WTA ,"Write Time for (WB,WTNA,WTA)",Total Time for WB,Total Time for WTNA ,Total Time for WTA,"Total Time for (WB,WTNA,WTA)",Write line HIT ratio,Read line HIT ratio ,Total HIT Ratio ,Total MISS Ratio ,Total Memory access time ,,Formulae
4,4,WTA,14178428,14178428,14119340,59088,0,5724158,5724158,5690296,33862,0,5724158,5724158,0,8192,0.020678108,,,0.352898458,0.352898458,,,0.373576566,0.373576566,0.99408437,0.995832542,1.989916912,0.010083088,2.21E-07,,
4,8,WB,14178428,14178428,14114680,63748,6984,5724158,5724158,5687535,36623,29661,0,0,75,8192,0.021965932,0.013045059,,,0.013045059,0.035015491,,,0.035015491,0.993602028,0.995503874,1.989105902,0.010894098,2.21E-07,,
4,8,WTNA,14178428,14178428,14111666,66762,0,5724158,5724158,5683659,40499,0,5724158,5724158,0,8192,0.021522248,,0.349133139,,0.349133139,,0.370655387,,0.370655387,0.992924898,0.995291297,1.988216196,0.011783804,2.21E-07,,
4,8,WTA,14178428,14178428,14114680,63748,0,5724158,5724158,5687535,36623,0,5724158,5724158,0,8192,0.021190708,,,0.353202168,0.353202168,,,0.374392876,0.374392876,0.993602028,0.995503874,1.989105902,0.010894098,2.21E-07,,
4,16,WB,14178428,14178428,14107587,70841,12371,5724158,5724158,5683145,41013,28753,0,0,33,8192,0.023344119,0.013427171,,,0.013427171,0.03677327,,,0.03677327,0.992835103,0.995003607,1.98783871,0.01216129,2.21E-07,,
4,16,WTNA,14178428,14178428,14101935,76493,0,5724158,5724158,5676540,47618,0,5724158,5724158,0,8192,0.022592658,,0.34912602,,0.34912602,,0.371718678,,0.371718678,0.991681222,0.994604973,1.986286195,0.013713805,2.20E-07,,
4,16,WTA,14178428,14178428,14107587,70841,0,5724158,5724158,5683145,41013,0,5724158,5724158,0,8192,0.021970938,,,0.353685068,0.353685068,,,0.375656006,0.375656006,0.992835103,0.995003607,1.98783871,0.01216129,2.21E-07,,
8,1,WB,14178428,14178428,14152724,25704,2391,5724158,5724158,5704779,19379,14963,0,0,2031,4096,0.019181729,0.011851997,,,0.011851997,0.031155586,,,0.031155586,0.996614524,0.998187105,1.994801629,0.005198371,3.57E-07,,
8,1,WTNA,14178428,14178428,14149567,28861,0,5724158,5724158,5689595,34563,0,5724158,5724158,0,4096,0.019315686,,0.349139075,,0.349139075,,0.368454761,,0.368454761,0.993961907,0.997964443,1.99192635,0.00807365,3.57E-07,,
8,1,WTA,14178428,14178428,14152724,25704,0,5724158,5724158,5704779,19379,0,5724158,5724158,0,4096,0.01875374,,,0.3526231,0.3526231,,,0.37137684,0.37137684,0.996614524,0.998187105,1.994801629,0.005198371,3.57E-07,,
8,2,WB,14178428,14178428,14135870,42558,3951,5724158,5724158,5693084,31074,26647,0,0,504,4096,0.022460981,0.016025143,,,0.016025143,0.038516364,,,0.038516364,0.994571429,0.996998398,1.991569827,0.008430173,3.56E-07,,
8,2,WTNA,14178428,14178428,14133502,44926,0,5724158,5724158,5687058,37100,0,5724158,5724158,0,4096,0.022175256,,0.349136538,,0.349136538,,0.371311794,,0.371311794,0.993518697,0.996831384,1.990350081,0.009649919,3.56E-07,,
8,2,WTA,14178428,14178428,14135870,42558,0,5724158,5724158,5693084,31074,0,5724158,5724158,0,4096,0.021753752,,,0.35470481,0.35470481,,,0.376458562,0.376458562,0.994571429,0.996998398,1.991569827,0.008430173,3.56E-07,,
8,4,WB,14178428,14178428,14129157,49271,6059,5724158,5724158,5688395,35763,29630,0,0,130,4096,0.024033227,0.017393742,,,0.017393742,0.041434769,,,0.041434769,0.993752269,0.996524932,1.990277201,0.009722799,3.56E-07,,
8,4,WTNA,14178428,14178428,14125607,52821,0,5724158,5724158,5683423,40735,0,5724158,5724158,0,4096,0.023580566,,0.349132903,,0.349132903,,0.372713469,,0.372713469,0.99288367,0.996274552,1.989158221,0.010841779,3.56E-07,,
8,4,WTA,14178428,14178428,14129157,49271,0,5724158,5724158,5688395,35763,0,5724158,5724158,0,4096,0.022948666,,,0.355539452,0.355539452,,,0.378488118,0.378488118,0.993752269,0.996524932,1.990277201,0.009722799,3.56E-07,,
8,8,WB,14178428,14178428,14122300,56128,11068,5724158,5724158,5683335,40823,29809,0,0,38,4096,0.026150384,0.018326463,,,0.018326463,0.044479127,,,0.044479127,0.992868296,0.99604131,1.988909606,0.011090394,3.56E-07,,
8,8,WTNA,14178428,14178428,14115392,63036,0,5724158,5724158,5675729,48429,0,5724158,5724158,0,4096,0.025398836,,0.349125209,,0.349125209,,0.374524045,,0.374524045,0.991539542,0.995554091,1.987093633,0.012906367,3.56E-07,,
8,8,WTA,14178428,14178428,14122300,56128,0,5724158,5724158,5683335,40823,0,5724158,5724158,0,4096,0.024169212,,,0.356440132,0.356440132,,,0.380609344,0.380609344,0.992868296,0.99604131,1.988909606,0.011090394,3.56E-07,,
8,16,WB,14178428,14178428,14110473,67955,21398,5724158,5724158,5674505,49653,28399,0,0,17,4096,0.03010466,0.019645813,,,0.019645813,0.049751493,,,0.049751493,0.991325711,0.995207156,1.986532867,0.013467133,3.56E-07,,
8,16,WTNA,14178428,14178428,14096838,81590,0,5724158,5724158,5660923,63235,0,5724158,5724158,0,4096,0.028701448,,0.349110403,,0.349110403,,0.377811851,,0.377811851,0.98895296,0.994245483,1.983198444,0.016801556,3.55E-07,,
8,16,WTA,14178428,14178428,14110473,67955,0,5724158,5724158,5674505,49653,0,5724158,5724158,0,4096,0.026274418,,,0.358011872,0.358011872,,,0.38428629,0.38428629,0.991325711,0.995207156,1.986532867,0.013467133,3.56E-07,,
